Duration,log_votes,movie_age,Year,genre_drama,genre_action,genre_romance,genre_comedy,genre_crime,genre_thriller,genre_family,genre_musical,genre_mystery,genre_adventure,director_encoded,director_movie_count,actor_1_encoded,actor_1_movie_count,actor_2_encoded,actor_2_movie_count,actor_3_encoded,actor_3_movie_count,Rating
115,2.302585092994046,76,1950,1,0,1,0,0,0,0,0,0,0,5.982987856447571,1,5.982987856447571,1,5.95940553507694,2,6.175804151307705,6,6.7
175,5.2832037287379885,58,1968,1,0,1,0,0,0,0,0,0,0,6.421369434205137,14,6.759304267203161,29,6.622579622803425,26,6.162528186224869,3,6.8
153,4.584967478670572,33,1993,1,1,0,0,1,0,0,0,0,0,5.567524428061552,5,5.887524428061552,5,5.619554151307706,6,5.614191094728219,5,6.5
142,4.204692619390966,35,1991,0,0,0,0,0,0,0,0,0,0,5.743469829567776,11,5.982987856447571,1,6.009405535076941,2,5.9531351783589805,26,6.7
168,5.0106352940962555,57,1969,1,0,1,0,0,1,0,0,0,0,6.641027075653853,22,5.921342085059831,89,6.364745229318689,18,6.3007568482896055,7,6.2
158,4.962844630259907,33,1993,1,0,1,0,0,0,0,0,0,0,5.743469829567776,11,5.4725802696012575,88,5.983224754883523,25,5.400536100871804,14,5.0
78,4.143134726391533,17,2009,1,0,0,0,0,0,0,0,0,0,6.12406664776333,3,6.064806038265754,1,6.064806038265754,1,6.064806038265754,1,7.6
138,3.5553480614894135,49,1977,1,0,0,0,0,0,1,0,0,0,6.132054151307706,6,5.570966659438921,24,5.877912801609484,3,5.967738868410275,2,5.4
145,5.58724865840025,10,2016,0,0,0,0,0,0,0,0,0,0,5.7557151291748445,1,5.7557151291748445,1,5.731758955455637,3,6.008690733914536,26,4.2
148,2.8903717578961645,49,1977,1,0,0,0,1,0,0,0,0,0,5.833946020043966,11,6.186326972424918,11,6.1657768009097085,13,5.785605109301792,3,5.3
138,5.8805329864007,78,1948,0,0,1,0,0,0,0,1,0,0,6.432256127417015,9,6.972277075653853,22,6.247524428061553,5,6.126072201743607,2,7.4
139,5.429345628954441,32,1994,1,1,0,1,0,0,0,0,0,0,5.571345083583723,7,4.990967175706513,55,5.375536100871805,14,5.648045601101225,9,4.6
133,2.6390573296152584,32,1994,0,1,0,0,0,0,0,0,0,0,5.412902075653853,22,5.746624220083936,1,5.5471435708402534,3,5.911468511692314,26,4.1
170,4.543294782270004,39,1987,0,1,0,0,0,0,0,0,0,0,5.581264093112434,16,5.921342085059831,89,5.819266660024954,27,6.100584837314695,12,5.3
180,4.624972813284271,36,1990,1,1,0,0,0,0,0,0,0,0,5.361036596488693,41,5.219562361627795,52,5.565084306497744,24,5.614191094728219,5,4.8
137,3.091042453358316,33,1993,0,1,0,0,0,0,0,0,0,0,5.412902075653853,22,5.921342085059831,89,5.648045601101225,9,5.911468511692314,26,4.8
138,2.0794415416798357,38,1988,0,1,0,0,0,1,0,0,0,0,5.393776172923092,4,5.682987856447571,1,5.458061887208807,4,5.7580618872088065,4,3.4
151,3.970291913552122,37,1989,0,1,0,0,0,0,0,0,0,0,6.089745229318689,18,5.828442401902118,1,5.704030943604403,18,5.769554151307705,6,5.0
78,2.0794415416798357,25,2001,0,0,0,0,0,0,0,0,0,0,5.655715129174845,1,5.655715129174845,1,5.655715129174845,1,5.920857761394886,5,3.1
117,5.945420608606575,17,2009,1,0,0,1,1,0,0,0,0,0,5.828442401902118,1,5.611203495838068,9,5.900584837314695,12,5.828442401902118,1,5.0
153,5.616771097666572,26,2000,1,1,0,0,1,0,0,0,0,0,5.7557151291748445,1,4.91827862617752,29,5.448045601101226,9,5.770220493917176,3,4.2
150,5.62040086571715,73,1953,1,0,1,0,0,0,0,1,0,0,6.213304151307705,6,6.972277075653853,22,6.772514656836932,15,6.116374340071022,3,7.2
135,3.258096538021482,48,1978,1,1,0,0,0,0,0,0,0,0,6.009405535076941,2,6.306652075653853,22,6.594801845025647,26,6.308514656836931,15,6.0
149,6.1070228877422545,33,1993,1,0,1,0,0,0,0,0,0,0,5.739451263147946,3,5.333601383769235,38,5.843474236839166,34,5.54664870849705,16,6.0
150,4.553876891600541,49,1977,1,0,0,0,0,0,0,0,0,0,6.382054151307706,6,5.944554151307706,6,6.1419333188778396,7,6.10091903006595,4,6.8
116,5.641907070938114,39,1987,1,0,0,0,0,0,0,0,0,0,5.785976865733128,39,5.80709554736411,20,6.184777075653853,22,5.964221200951059,12,5.5
144,3.970291913552122,63,1963,1,0,1,0,0,0,0,0,0,0,5.917738868410274,2,6.47834521208835,91,6.24603938276924,12,6.165462730642546,7,5.6
